"Week of","Commits"
"2025-04-06",0
"2025-04-13",0
"2025-04-20",37
"2025-04-27",31
"2025-05-04",36
"2025-05-11",50
"2025-05-18",28
"2025-05-25",42
"2025-06-01",27
"2025-06-08",26
"2025-06-15",40
"2025-06-22",35
"2025-06-29",7
"2025-07-06",2
"2025-07-13",0
