"Week of","Commits"
"2025-04-06",0
"2025-04-13",0
"2025-04-20",2
"2025-04-27",10
"2025-05-04",1
"2025-05-11",2
"2025-05-18",2
"2025-05-25",3
"2025-06-01",6
"2025-06-08",4
"2025-06-15",2
"2025-06-22",3
"2025-06-29",1
"2025-07-06",0
"2025-07-13",0
