"Week of","Commits"
"2025-04-06",0
"2025-04-13",2
"2025-04-20",11
"2025-04-27",14
"2025-05-04",16
"2025-05-11",3
"2025-05-18",18
"2025-05-25",28
"2025-06-01",1
"2025-06-08",3
"2025-06-15",0
"2025-06-22",0
"2025-06-29",0
"2025-07-06",0
"2025-07-13",0
